id,name,members_count,observers_count,leaders_count,members_pending_count,observers_pending_count,leaders_pending_count,total_people,workspace_id,workspace_name,restricted,description
33000162935,CWT AAC - Singapore,2,0,0,0,0,0,2,2,My Team,no,Area Asset Coordinator over seeing the asset process for the country
33000162936,CWT Accenture Global Technology,2,0,0,0,0,0,2,2,My Team,no,Accenture GLOBAL account servicing items that needs to be worked by the Global Technology Manager.
33000162937,CWT Accounting - Chart of Accounts,3,0,0,0,0,0,3,2,My Team,no,null
33000162413,CWT Accounts Payable,5,0,0,0,0,0,5,2,My Team,no,null
33000162228,CWT Active Directory Services,4,0,0,0,0,0,4,2,My Team,no,null
33000162938,CWT Admin Group,1,0,0,0,0,0,1,2,My Team,no,Group used to assign ServiceNow admin role to users
33000162414,CWT Adobe Admin and Support,4,0,0,0,0,0,4,2,My Team,no,This group will be for the assignment of requests and support related to Adobe software products
33000162939,CWT Advanced Work Assignent Admin,1,0,0,0,0,0,1,2,My Team,no,null
33000162415,CWT AGM BO SUPPORT,4,0,0,0,0,0,4,2,My Team,no,Client account setups and other implementation related tasks mainly in the Finnish backoffice tool AGM  Renamed 3/4/24 from AGM SETUP to AGM BO SUPPORT. Requeted by Mia Vlasoff
33000162416,CWT AGM FO SUPPORT,3,0,0,0,0,0,3,2,My Team,no,Finance Support team FInland  Renamed 3/4/24 from AGM SUPPORT to AGM FO SUPPORT. Requeted by Mia Vlasoff
33000163777,CWT AGM Support,0,0,0,0,0,0,0,2,My Team,no,
33000162417,CWT AI One Tech Team,1,0,0,0,0,0,1,2,My Team,no,null
33000162418,CWT Air Pref API DevOps Support,3,0,0,0,0,0,3,2,My Team,no,null
33000162419,CWT Airhub Support,3,0,0,0,0,0,3,2,My Team,no,"Airhub Support assignment group, will be used for problem/request/incident for our flight shop/book engine -  ""myCWT Flight (AirHub)"" product"
33000162940,CWT AIRLINE DRA,3,0,0,0,0,0,3,2,My Team,no,null
33000162941,CWT Akritiv Approver Group,2,0,0,0,0,0,2,2,My Team,no,Arkritiv Approver Group
33000162420,CWT Akritiv Support,4,0,0,0,0,0,4,2,My Team,no,The group will provide support on Akritiv based incidents and requests
33000162942,CWT Alert Monitoring MDF/APS,7,0,0,0,0,0,7,2,My Team,no,null
33000162943,CWT AllClear Approver Group,3,0,0,0,0,0,3,2,My Team,no,Change Approver Group for application AllClear
33000162944,CWT AllClear Support,2,0,0,0,0,0,2,2,My Team,no,null
33000162945,CWT Americas Moxie Support,4,0,0,0,0,0,4,2,My Team,no,Support for NORAM and LATAM In Country Moxie request from Local Support Team.
33000162946,CWT AMM Approver Group,4,0,0,0,0,0,4,2,My Team,no,Group to approve changes related to middleware
33000162947,CWT Analytics Approvers,4,0,0,0,0,0,4,2,My Team,no,"This group manages the Analytics Reporting platform and product and includes Travel Consolidator and AnswerIQ.   It is the full suite of tools that use the ThoughtSpot application.  In the short-term, the multiple products have their own name, but will collapse into the one name of Analytics"
33000162364,CWT Analytics DevOps and Support,7,0,0,0,0,0,7,2,My Team,no,"Team is responsible for support of the Analytics platform that is running off Thoughtspot Cloud.  This is the platform replacing old AnalytIQs that was running on IBM Cognos and AnswerIQ that was on ThoughtSpot on Premise  June 10, 2026 (RITM0554582) -Manger changed from Patrice Simone to Christopher Lingbaoan"
33000162421,CWT Analytics Navigation and Functionality,1,0,0,0,0,0,1,2,My Team,no,Support group for Analytics related questions or issues
33000163016,CWT AnalytIQs Approvers,8,0,0,0,0,0,8,2,My Team,no,CWT AnalytIQs Approver Group for any changes impacting the CWT AnalytIQs production environment
33000162365,CWT AnalytIQs Development,12,0,0,0,0,0,12,2,My Team,no,Using this group to manage development tasks.
33000162948,CWT Announcement Admin,1,0,0,0,0,0,1,2,My Team,no,"This group allows access to the Announcment module.  The main purpose is to allow members of the group the ability to create and manage announcments on the Service Portal, typically for Incidents or Service Desk related information."
33000162949,CWT AnswerIQ Approver Group,4,0,0,0,0,0,4,2,My Team,no,AnswerIQ Change Approver Group
33000163017,CWT AnswerIQ L1,11,0,0,0,0,0,11,2,My Team,no,L1 Support queue for the DnA AnswerIQ product.  Also known as ThoughtSpot
33000162422,CWT APAC CEC team,16,0,0,0,0,0,16,2,My Team,no,"Need access to APAC countries - AUNZ, SG, HK, TH, IN, ID. Manage feedback across APAC"
33000162423,CWT APAC Desktop KTLO,10,0,0,0,0,0,10,2,My Team,no,"BPG APAC Synergy unit that supports the Legacy & KTLO applications/software Group renamed to from APAC Synergy Legacy KTLO to APAC Desktop KTLO, 9/19/22 requested by Karren Roxas"
33000162950,CWT APAC INFORMATION SECURITY,2,0,0,0,0,0,2,2,My Team,no,null
33000162424,CWT APAC IT INFRASTRUCTURE,8,0,0,0,0,0,8,2,My Team,no,null
33000163018,CWT APAC_IN Physical Security,3,0,0,0,0,0,3,2,My Team,no,Employee Badge Provisioning India
33000162366,CWT APAC_MNL Physical Security,5,0,0,0,0,0,5,2,My Team,no,Access badge request fulfillment group
33000163019,CWT APAC_SG Physical Security,3,0,0,0,0,0,3,2,My Team,no,Employee Badge Provisioning Singapore
33000163020,CWT APAC_SYD Physical Security,2,0,0,0,0,0,2,2,My Team,no,Employee Badge Provisioning Sydney
33000162951,CWT APM Admin,1,0,0,0,0,0,1,2,My Team,no,Role group for APM Admin role
33000162952,CWT APM Read,1,0,0,0,0,0,1,2,My Team,no,Role group for APM Read role
33000162953,CWT APM User,1,0,0,0,0,0,1,2,My Team,no,Role group for APM User role
33000162211,CWT APP MIDDLEWARE & SUPPORT,16,0,0,0,0,0,16,2,My Team,no,"CWT-AMS Operates 24x7, Providing Support and Managing Alerts for Global Applications running in Production Environment. This group was renamed from ""APP PRODUCTION SUPPORT"" to ""APP MIDDLEWARE & SUPPORT"" 2/7/22"
33000162427,CWT APP MIDDLEWARE ENG,12,0,0,0,0,0,12,2,My Team,no,Middleware team that is involved with engineering Application Middleware that comes into the IT Operations groups.
33000162954,CWT App-Sec Manager,1,0,0,0,0,0,1,2,My Team,no,Prioritizes and manages application vulnerable items.
33000162955,CWT APPD APPLICATION CI MAPPING USER,1,0,0,0,0,0,1,2,My Team,no,Rold group for applying the u_appd_application_ci_mapping_user role
33000162428,CWT Application Security,6,0,0,0,0,0,6,2,My Team,no,"Team that is responsible for the process of developing, adding, and testing security features within applications to prevent security vulnerabilities against threats such as unauthorized access and modification."
33000162429,CWT AQUA Access Approvers,2,0,0,0,0,0,2,2,My Team,no,Approvers for AQUA requests - primarily for database access for AQUA
33000162212,CWT AQUA APP Support,6,0,0,0,0,0,6,2,My Team,no,"Power Center App Support manages all application incidents, changes, Tech Support notifications,   June 23, 2026: Group email upated from aquaappsupport@mycwt.com to aquaappsupport@amexgbt.com"
33000162956,CWT AQUA APP Support Approvers Group,2,0,0,0,0,0,2,2,My Team,no,null
33000162957,CWT AQUA Approver Group,4,0,0,0,0,0,4,2,My Team,no,"All support regarding Power Center application for regions NORAM, APAC, EMEA, LATAM"
33000162432,CWT AQUA COREDEV ONCALL,4,0,0,0,0,0,4,2,My Team,no,null
33000162958,CWT AQUA M&G Approver Group,3,0,0,0,0,0,3,2,My Team,no,All Power Center Support for Military & Government NORAM
33000162213,CWT AQUA Support,14,0,0,0,0,0,14,2,My Team,no,null
33000162214,CWT ARC SECURITY,4,0,0,0,0,0,4,2,My Team,no,Group is used to setup new users in My ARC and DRS ARC Compass and reset their passwords.
33000162437,CWT ARC SETTLEMENT ADMINISTRATION,3,0,0,0,0,0,3,2,My Team,no,null
33000162438,CWT ARCS Support,3,0,0,0,0,0,3,2,My Team,no,"Cadency Application Support Group manages the entire Record-to-Report cycle end to end, from local to group financial close   Group renamed from ""Cadency (Trintech) Support"" to ""ARCS Support"" 2/6/23 per request from Jaroslaw Han"
33000162959,CWT Assessment Admin,1,0,0,0,0,0,1,2,My Team,no,null
33000162910,CWT ASSET-ADMIN,1,0,0,0,0,0,1,2,My Team,no,The ServiceNow ASSET-ADMIN group defines the group of users that have admin access to the Workstation Asset Management application.
33000162911,CWT ASSET-USER,1,0,0,0,0,0,1,2,My Team,no,The ASSET-USER group defines the group of users that have read-only access to the Workstation Asset Management application.
33000162439,CWT AWA Manager,9,0,0,0,0,0,9,2,My Team,no,Group Role used to provide access to the Work Item(awa_work_item) table to pull data for Virtual Agent Chats
33000162912,CWT BACKOFFICE EMEA L2,2,0,0,0,0,0,2,2,My Team,no,Drive end to end optimization and integration into mid and back-office
33000162913,CWT BEIJING SERVICE DESK,1,0,0,0,0,0,1,2,My Team,no,null
33000162914,CWT BENELUX IT PROCUREMENT,3,0,0,0,0,0,3,2,My Team,no,Updated Manager as Matthew Hammond is no longer an active employee
33000162915,CWT BENELUX TS BMF,3,0,0,0,0,0,3,2,My Team,no,null
33000162916,CWT BENELUX TS CAR,3,0,0,0,0,0,3,2,My Team,no,null
33000162917,CWT BENELUX TS CWT ANALYTIQS,3,0,0,0,0,0,3,2,My Team,no,null
33000162918,CWT BENELUX TS CWT ITINERARY,3,0,0,0,0,0,3,2,My Team,no,null
33000162919,CWT BENELUX TS CWT LISTENS,3,0,0,0,0,0,3,2,My Team,no,null
33000162920,CWT BENELUX TS CWT RESOLVE,3,0,0,0,0,0,3,2,My Team,no,null
33000162921,CWT BENELUX TS ETTT,3,0,0,0,0,0,3,2,My Team,no,null
