ok,category,item_name,display_id,ticket_id,ticket_url,group_assigned,group_id,group_name,error
yes,CWT Gateway Resource,CWT - Gateway Resource Portal Instructions,1566,3265825,https://amexgbt.freshservice.com/a/tickets/3265825,no,,,
yes,CWT Gateway Resource,Gateway - Service Request,1520,3265827,https://amexgbt.freshservice.com/a/tickets/3265827,no,,,
yes,CWT Meetings & Events,CWT - M&E Client Administration,1475,3265828,https://amexgbt.freshservice.com/a/tickets/3265828,yes,17000393491,CWT Enhance ME User Support,
yes,CWT Meetings & Events,CWT - M&E User Administration,1474,3265919,https://amexgbt.freshservice.com/a/tickets/3265919,yes,17000393491,CWT Enhance ME User Support,
yes,CWT Meetings & Events,CWT - M&E Supplier Administration,1469,3265829,https://amexgbt.freshservice.com/a/tickets/3265829,yes,17000393491,CWT Enhance ME User Support,
yes,CWT support, CWT ARCS Work Request,1517,3265830,https://amexgbt.freshservice.com/a/tickets/3265830,no,,,
yes,CWT support,Access to Oracle Apex Application ,1447,3265920,https://amexgbt.freshservice.com/a/tickets/3265920,no,,,
yes,CWT support,APAC Application Access - MyAU Matrix,1541,3265921,https://amexgbt.freshservice.com/a/tickets/3265921,no,,,
no,CWT support,Application Access - TravCom,1497,,,no,,,"POST /api/v2/service_catalog/items/1497/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""select_effective_date_for_deletion_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""if_other_please_provide_more_information___cwt_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""if_other_please_provide_more_information___travcom_325251"",""message"":""Unexpected/in"
yes,CWT support,APAC IT Finance System Service Request,1525,3265831,https://amexgbt.freshservice.com/a/tickets/3265831,yes,17000393470,CWT Finance Systems Development - APAC,
no,CWT support,Application Access Finance  - ACCPAC,1545,,,no,,,"POST /api/v2/service_catalog/items/1545/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""select_effective_date_for_deletion_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""if_other_please_provide_more_information_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,Application Access Request Form - Zillious,1460,3265922,https://amexgbt.freshservice.com/a/tickets/3265922,no,,,
yes,CWT support,AS/400 Technical Request,1394,3265923,https://amexgbt.freshservice.com/a/tickets/3265923,yes,17000393490,CWT EMEA IT AS/400 SYS ENGINEERING,
yes,CWT support,Application Performance Testing,1456,3265832,https://amexgbt.freshservice.com/a/tickets/3265832,no,,,
yes,CWT support,Audit Request Intake (IT Infrastructure Only),1501,3265833,https://amexgbt.freshservice.com/a/tickets/3265833,no,,,
yes,CWT support,Backup Support Request,1398,3265834,https://amexgbt.freshservice.com/a/tickets/3265834,no,,,
yes,CWT support,BI Data Requests,1393,3265835,https://amexgbt.freshservice.com/a/tickets/3265835,yes,17000393494,CWT BI Data Warehouse Support,
yes,CWT support,Certificate Assignment Group Update,1530,3265836,https://amexgbt.freshservice.com/a/tickets/3265836,yes,17000392773,CWT WEB Operations,
yes,CWT support,Control M Access Request,1555,3265837,https://amexgbt.freshservice.com/a/tickets/3265837,no,,,
yes,CWT support,CMDB Update Automation for Leavers,1538,3265838,https://amexgbt.freshservice.com/a/tickets/3265838,no,,,
yes,CWT support,Counselor Knowledge - Request Form,1397,3265840,https://amexgbt.freshservice.com/a/tickets/3265840,no,,,
yes,CWT support,Counselor Platform - Enhancement Suggestions,1554,3265839,https://amexgbt.freshservice.com/a/tickets/3265839,no,,,
yes,CWT support,CTX Reporting and CRM/eSOW/PO Tools Support,1527,3265924,https://amexgbt.freshservice.com/a/tickets/3265924,yes,17000393474,CWT GLOBAL CRM SUPPORT,
no,CWT support,CWT -  Home Internet Request,1503,,,no,,,"POST /api/v2/service_catalog/items/1503/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""country"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,"CWT - Active Directory Create, Modify, Delete Security Group",1562,3266003,https://amexgbt.freshservice.com/a/tickets/3266003,no,,,
yes,CWT support,CWT - Application Package Request,1523,3265926,https://amexgbt.freshservice.com/a/tickets/3265926,yes,17000360724,EUC-Engineering-Global-L3,
yes,CWT support,CWT - AQUA Account Management Request				,1382,3265927,https://amexgbt.freshservice.com/a/tickets/3265927,yes,17000392777,CWT AQUA Support,
yes,CWT support,CWT - AQUA APP Support Request,1559,3265842,https://amexgbt.freshservice.com/a/tickets/3265842,yes,17000392776,CWT AQUA APP Support,
no,CWT support,CWT - AQUA Support Request,1558,,,no,,,"POST /api/v2/service_catalog/items/1558/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""service_request"",""message"":""Invalid Invalid value Assigned to: 17005035989"",""code"":""invalid_value""}]}"
yes,CWT support,CWT - AQUA Troubleshooting Request,1374,3265929,https://amexgbt.freshservice.com/a/tickets/3265929,yes,17000392777,CWT AQUA Support,
no,CWT support,CWT - Audit Request Intake (IT Infrastructure Only),1499,,,no,,,"POST /api/v2/service_catalog/items/1499/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""service_request"",""message"":""Invalid Invalid value Fulfillment Team"",""code"":""invalid_value""}]}"
yes,CWT support,CWT - Automated Asset Retrieval,1465,3265843,https://amexgbt.freshservice.com/a/tickets/3265843,no,,,
yes,CWT support,CWT - AWS Account Decom Request,1546,3265844,https://amexgbt.freshservice.com/a/tickets/3265844,no,,,
yes,CWT support,CWT - Cloud Application (Azure),1504,3265931,https://amexgbt.freshservice.com/a/tickets/3265931,no,,,
yes,CWT support,CWT - AWS Cloud Access Request,1563,3265930,https://amexgbt.freshservice.com/a/tickets/3265930,no,,,
no,CWT support,CWT - Create Technical Service CI,1549,,,no,,,"POST /api/v2/service_catalog/items/1549/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""support_group"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT - CyberArk Password Vault Request,1560,3266004,https://amexgbt.freshservice.com/a/tickets/3266004,no,,,
no,CWT support,CWT - D&G Data/Environment Access Request,1561,,,no,,,"POST /api/v2/service_catalog/items/1561/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""current_location_state"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
no,CWT support,CWT - Database Permissions,1505,,,no,,,"POST /api/v2/service_catalog/items/1505/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""account_name_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
no,CWT support,CWT - EdgeWAF Onboarding,1548,,,no,,,"POST /api/v2/service_catalog/items/1548/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""please_specify_cloud_service_provider_csp_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
no,CWT support,CWT - ERP Technical Support Request,1491,,,no,,,"POST /api/v2/service_catalog/items/1491/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""specify_other_request_type_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
no,CWT support,CWT - Exclude Server from patch window (CWT Use only),1498,,,no,,,"POST /api/v2/service_catalog/items/1498/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""server_name"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT - External User Access Request,1484,3265932,https://amexgbt.freshservice.com/a/tickets/3265932,no,,,
no,CWT support,CWT - GDS PCC / OID Request,1479,,,no,,,"POST /api/v2/service_catalog/items/1479/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""add_owner_and_receiver_oid_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,CWT - GitHub Access Request,1551,3265933,https://amexgbt.freshservice.com/a/tickets/3265933,no,,,
yes,CWT support,CWT - Global Desk Move Request,1495,3265934,https://amexgbt.freshservice.com/a/tickets/3265934,no,,,
yes,CWT support,CWT - Matrix Enhancement Request,1489,3265935,https://amexgbt.freshservice.com/a/tickets/3265935,no,,,
yes,CWT support,CWT - Global Telephony & Email Service Level Target Changes,1486,3265845,https://amexgbt.freshservice.com/a/tickets/3265845,yes,17000393472,CWT GCS L2 CXP GLOBAL,
yes,CWT support,CWT - NORAM Vendor Contracts Request,1506,3265936,https://amexgbt.freshservice.com/a/tickets/3265936,yes,17000393241,CWT VENDOR CONTRACT ADMIN,
yes,CWT support,CWT - Portrait HR Load Service Request Form,1500,3265937,https://amexgbt.freshservice.com/a/tickets/3265937,no,,,
yes,CWT support,CWT - Power Turbo,1487,3265938,https://amexgbt.freshservice.com/a/tickets/3265938,yes,17000392775,CWT Desktop Support,
yes,CWT support,CWT - Power Hotel Request via CSB,1485,3265846,https://amexgbt.freshservice.com/a/tickets/3265846,no,,,
no,CWT support,CWT - Project OnLine Access,1490,,,no,,,"POST /api/v2/service_catalog/items/1490/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""resource_standard_hourly_rate_if_contractor_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""vendor_name_if_contractor_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,CWT - PowerBI Pro Access,1547,3265847,https://amexgbt.freshservice.com/a/tickets/3265847,no,,,
no,CWT support,"CWT - Request for new application CI used in Incident, Problem and Change processes",1564,,,no,,,"POST /api/v2/service_catalog/items/1564/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""support_group"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT - SABRE GDS Scripting Team Request Form,1507,3266005,https://amexgbt.freshservice.com/a/tickets/3266005,no,,,
yes,CWT support,CWT - Service Account Request - (Non-Standard/GMSA),1550,3266006,https://amexgbt.freshservice.com/a/tickets/3266006,no,,,
yes,CWT support,CWT - Setup Secure File Transfers - Automated,1440,3265848,https://amexgbt.freshservice.com/a/tickets/3265848,no,,,
